giris_tarih,hisse,grup,kat,pos52,giris,poz_tl,cikis_tarih,cikis,sebep,getiri_%,tl_kar,max_gordugu_%,dakika
2026-04-06,GEREL,kirilim,13.5,1.06,33.02,23822.0,2026-04-07,34.0106,hedef,2.97,707.0,5.45,
2026-04-06,YGGYO,kirilim,5.5,1.032,223.4,23822.0,2026-04-07,216.698,stop,-3.03,-723.0,0.94,
2026-04-07,AYEN,kirilim,5.9,1.04,39.8,5148.0,2026-04-07,38.606,stop,-3.03,-156.0,2.01,
2026-04-07,DGNMO,dip,9.4,0.169,4.23,5148.0,2026-04-07,4.1031,stop,-3.03,-156.0,1.89,
2026-04-07,JANTS,dip,9.6,0.094,17.54,5148.0,2026-04-07,17.0138,stop,-3.03,-156.0,0.57,
2026-04-07,SEGMN,kirilim,6.0,0.968,61.8,5148.0,2026-04-07,59.946,stop,-3.03,-156.0,1.54,
2026-04-07,SMRTG,dip,5.9,0.1,6.84,5148.0,2026-04-07,6.6348,stop,-3.03,-156.0,1.9,
2026-04-07,USAK,dip,11.3,0.074,1.75,5148.0,2026-04-07,1.6975,stop,-3.03,-156.0,1.71,
2026-04-08,BUCIM,dip,6.1,0.078,6.08,37644.0,2026-04-17,6.2624,hedef,2.97,1117.0,3.62,
2026-04-08,EUREN,dip,9.6,0.109,4.89,37644.0,2026-04-08,5.0367,hedef,2.97,1117.0,7.16,
2026-04-08,PGSUS,dip,5.3,0.18,187.3,37644.0,2026-04-17,192.919,hedef,2.97,1117.0,3.9,
2026-04-09,EUREN,dip,7.6,0.1,5.0,9690.0,2026-04-13,5.15,hedef,2.97,288.0,3.4,
2026-04-09,KONTR,dip,5.3,0.092,8.8,9690.0,2026-04-10,9.064,hedef,2.97,288.0,10.0,
2026-04-09,SMRVA,dip,5.2,0.034,13.3237,9690.0,2026-04-10,13.7234,hedef,2.97,288.0,5.17,
2026-04-09,VRGYO,dip,8.7,0.167,2.47,9690.0,2026-04-10,2.5441,hedef,2.97,288.0,3.64,
2026-04-13,FENER,dip,6.9,0.164,3.03,3742.0,2026-04-14,3.1209,hedef,2.97,111.0,3.3,
2026-04-13,GRTHO,dip,9.9,0.168,288.0,3742.0,2026-04-13,296.64,hedef,2.97,111.0,3.56,
2026-04-13,KONTR,dip,9.0,0.188,10.06,3742.0,2026-04-13,10.3618,hedef,2.97,111.0,3.28,
