tarih,kat,ilk_ret,getiri_net,sonuc,hisse
2023-03-20,9.313945687366916,0.001386001386001201,-0.008384083044982608,kapanis,ISBIR
2024-06-06,8.552420533134192,0.0,0.011489984591679277,kapanis,ISBIR
2022-02-14,8.369565218635202,0.0,-0.007,kapanis,ISBTR
2026-04-30,8.3604901746088,0.0028688524590163578,-0.017625255414793532,kapanis,ISDMR
2026-05-18,89.31749431520389,0.047808764940239,-0.007,kapanis,ISSEN
2026-05-20,9.74877379086693,-0.0009009009009008917,-0.037000000000000026,stop,ISSEN
2026-04-08,9.159050500113757,0.00969696969696976,-0.011801920768307432,kapanis,ISYAT
2026-04-16,16.118179848870607,0.08171521035598706,-0.007,kapanis,IZFAS
2026-05-11,8.825853780981866,0.030905077262693093,-0.037000000000000026,stop,IZMDC
2026-04-07,10.227136371313547,0.04739613809245169,-0.036999999999999915,stop,JANTS
2026-04-27,9.03252599922982,0.0,-0.02190066225165565,kapanis,KAREL
2026-04-06,18.59766894380335,-0.03230148048452208,-0.019517385257301838,kapanis,KARTN
2026-06-03,10.177387672627164,0.04067536454336129,-0.03700000000000014,stop,KARTN
2023-06-12,12.392575344434789,0.0,-0.007,kapanis,KERVN
2026-05-11,11.089292819733974,-0.001956947162426781,-0.02660784313725483,kapanis,KERVN
2026-05-20,19.367908692370857,0.005660377358490676,-0.037000000000000026,stop,KFEIN
2026-04-20,8.549449400613325,0.02978235967926679,-0.015342602892102424,kapanis,KIMMR
2025-07-17,8.545302662674233,-0.039999999999999925,-5.555555555580242e-05,kapanis,KLNMA
2026-05-06,10.430218372713735,0.06390704429920113,-0.007,kapanis,KLSER
2026-05-07,23.13112727541507,0.04816053511705687,-0.037000000000000026,stop,KLSER
2026-06-02,9.907886493152914,-0.007623888182973326,-0.037000000000000026,stop,KLSER
2026-03-30,9.037357784220724,-0.03663793103448276,-0.010355704697986516,kapanis,KLSYN
2026-04-28,11.53690939284333,0.009687034277198192,-0.03700000000000014,stop,KLSYN
2026-05-11,20.025075708561502,-0.04057480980557904,0.043000000000000045,hedef,KLSYN
2026-04-02,8.95858892251034,0.023125996810207328,-0.037000000000000026,stop,KLYPV
2026-04-30,11.968884075477986,0.007547169811320753,-0.03700000000000014,stop,KMPUR
2026-06-03,17.908381951725357,0.06981382978723416,-0.007,kapanis,KNFRT
2026-06-04,9.125964451063828,0.024565608148591878,-0.03700000000000014,stop,KNFRT
2026-04-28,11.701459724276221,0.0198717948717948,0.043000000000000045,hedef,KRDMB
2026-05-04,20.253002064002477,0.014606741573033544,-0.022503875968992164,kapanis,KRSTL
2026-05-11,9.500123895267201,0.0022304832713755385,-0.004032640949554905,kapanis,KRTEK
2026-04-09,20.42336842314932,0.06630434782608696,-0.037000000000000026,stop,KTSKR
2026-04-24,8.716965246269703,0.015833333333333366,0.026634126333059734,kapanis,KUVVA
2026-05-07,16.48167803179732,0.025875190258751957,-0.037000000000000026,stop,KZGYO
2026-05-14,12.056878555307614,0.03555555555555556,-0.019875536480686844,kapanis,LILAK
2026-05-05,23.779127817800063,0.030303030303030276,-0.037000000000000026,stop,LINK
2026-05-08,20.640241965938607,0.040123456790123635,-0.037000000000000026,stop,LKMNH
2026-06-04,13.415169286232802,-0.03622577927548443,-0.037000000000000026,stop,LUKSK
2026-04-29,22.06896551724138,-0.03272669220945079,0.043000000000000045,hedef,LYDYE
2026-05-15,8.817544935336262,-0.04901117798796217,-0.037000000000000026,stop,MAALT
2026-06-04,16.189031321838275,-0.013272077590607556,-0.03700000000000014,stop,MAKIM
2026-04-15,14.153915993650934,0.030112044817927286,-0.037000000000000026,stop,MAKTK
2026-04-29,9.143793496193759,0.03393665158371051,-0.007,kapanis,MANAS
2026-05-20,8.706327158383047,0.11578947368421044,-0.037000000000000026,stop,MARKA
2026-04-02,13.741975881358966,0.032467532467532534,-0.037000000000000026,stop,MARTI
2026-05-08,23.215736227440463,0.058497536945812945,-0.036999999999999915,stop,MEDTR
2024-07-25,9.304542641345694,-0.04276729559748427,-0.037000000000000026,stop,MEGAP
2026-04-10,13.571474452329694,-0.009983361064891727,-0.00027731092436977193,kapanis,MEKAG
2026-05-26,10.282258560178525,0.01118568232662187,-0.037000000000000026,stop,MEKAG
2026-06-02,17.340055632823365,0.04069767441860472,-0.005403830806065429,kapanis,MEPET
2026-04-17,20.00614946357913,0.03137651821862342,-0.037000000000000026,stop,MERCN
2026-05-07,12.805619889327005,-0.008163265306122436,0.0218065843621399,kapanis,MERKO
2025-08-11,9.400154626013952,0.023506366307541438,-0.007,kapanis,MMCAS
2026-04-16,8.116318119371089,0.04768211920529808,-0.02849178255372941,kapanis,MRSHL
2026-04-14,32.378410330111976,-0.0023529411764705577,-0.037000000000000026,stop,NATEN
2026-05-12,8.197151330098595,0.02400000000000002,-0.01871875,kapanis,NATEN
2026-05-21,9.761583210305806,0.00721500721500723,-0.037000000000000026,stop,NIBAS
2026-05-05,33.921765079812914,0.03286034353995526,-0.002661605206073608,kapanis,NTGAZ
2026-06-01,16.10802783382159,0.0,-0.037000000000000026,stop,NUGYO
