ilk_bar_tepe,ilk_bar_dip,ilk_bar_kapanis,ilk_saat_hareket,gun_sonu,sinyal,hisse
0.0,0.0,0.0,-0.01602564102564108,0.0641025641025641,False,ISKPL
0.0,0.0,0.0,0.006106870229007688,0.11450381679389321,False,ISKPL
0.0,0.0,0.0,-0.002631578947368318,-0.047368421052631504,False,ISKPL
0.0,0.0,0.0,-0.0013404825737265424,-0.04557640750670244,False,ISKPL
0.0,0.0,0.0,0.0,0.035063113604488105,False,ISKPL
0.0,0.0,0.0,0.0,0.0027100271002711285,False,ISKPL
0.0,0.0,0.0,0.0,0.048648648648648596,False,ISKPL
0.0,0.0,0.0,0.0025188916876572875,0.0025188916876572875,False,ISKPL
0.0,0.0,0.0,0.0,-0.05402010050251249,False,ISKPL
0.0,0.0,0.0,0.0013262599469496816,-0.04774535809018576,False,ISKPL
0.0,0.0,0.0,0.0,-0.028328611898016942,False,ISKPL
0.0,0.0,0.0,0.0014534883720929148,0.053779069767441845,False,ISKPL
0.0,0.0,0.0,0.0013793103448276334,0.07172413793103449,False,ISKPL
0.0,0.0,0.0,0.0012870012870014325,-0.09137709137709138,False,ISKPL
0.0,0.0,0.0,0.008486562942008335,0.07920792079207906,False,ISKPL
0.0,0.0,0.0,0.010652463382157196,-0.0066577896138482195,False,ISKPL
0.0,0.0,0.0,0.002673796791443861,-0.021390374331550777,False,ISKPL
0.0,0.0,0.0,0.00136986301369868,-0.015068493150684814,False,ISKPL
0.0,0.0,0.0,0.002777777777777768,0.0,False,ISKPL
0.0,0.0,0.0,0.001388888888888884,0.03472222222222232,False,ISKPL
0.0,0.0,0.0,0.0013368983957218195,-0.02941176470588247,False,ISKPL
0.0,0.0,0.0,0.0,0.04081632653061229,False,ISKPL
0.0,0.0,0.0,0.0,0.08781127129750987,False,ISKPL
0.0,0.0,0.0,-0.006024096385542244,0.012048192771084265,False,ISKPL
0.0,0.0,0.0,0.0011904761904761862,0.042857142857142705,False,ISKPL
0.0,0.0,0.0,0.0,0.010273972602739656,False,ISKPL
0.0,0.0,0.0,-0.001129943502824804,0.015819209039548143,False,ISKPL
0.0,0.0,0.0,0.0011111111111110628,-0.03888888888888886,False,ISKPL
0.0,0.0,0.0,0.0011547344110853786,0.026558891454965483,False,ISKPL
0.0,0.0,0.0,-0.002239641657334812,-0.023516237402015583,False,ISKPL
0.0,0.0,0.0,0.0011428571428571122,-0.004571428571428449,False,ISKPL
0.0,0.0,0.0,0.0034602076124565784,0.025374855824682907,False,ISKPL
0.0,0.0,0.0,0.0011248593925758943,-0.0011248593925758943,False,ISKPL
0.0,0.0,0.0,0.0,0.02732240437158473,False,ISKPL
0.0,0.0,0.0,0.0010638297872340718,-0.02765957446808509,False,ISKPL
0.0,0.0,0.0,0.008724100327153872,0.018538713195201728,False,ISKPL
0.0,0.0,0.0,0.0,-0.032804232804232725,True,ISKPL
0.012035010940919078,0.0,0.004376367614879584,0.00547045951859948,0.001094091903719896,True,ISKPL
0.0,0.0,0.0,0.0,0.0021834061135370675,False,ISKPL
0.0,0.0,0.0,-0.0021505376344087557,0.02473118279569886,False,ISKPL
0.0,0.0,0.0,0.0,0.0041972717733473885,False,ISKPL
0.0,0.0,0.0,-0.0030674846625766694,-0.010224948875255602,False,ISKPL
0.0,0.0,0.0,-0.012396694214875992,-0.03305785123966942,False,ISKPL
0.0,0.0,0.0,0.0032017075773747017,0.0032017075773747017,False,ISKPL
0.0,0.0,0.0,0.0,-0.015789473684210575,False,ISKPL
0.0,0.0,0.0,0.0,-0.011777301927194839,False,ISKPL
0.0,0.0,0.0,0.0,-0.013015184381778844,False,ISKPL
0.0,0.0,0.0,-0.001098901098901095,0.0,False,ISKPL
0.0,0.0,0.0,0.0,-0.027412280701754388,False,ISKPL
0.0,0.0,0.0,0.0,0.010146561443066693,False,ISKPL
0.0,0.0,0.0,0.0022222222222221255,0.02444444444444449,False,ISKPL
0.0,0.0,0.0,0.0032537960954446277,-0.014099783080260386,False,ISKPL
0.0,0.0,0.0,-0.004357298474945481,0.002178649237472685,False,ISKPL
0.0,0.0,0.0,0.0,0.0010752688172042113,False,ISKPL
0.0,0.0,0.0,-0.013541666666666563,0.05729166666666674,False,ISKPL
